pond_year,body_condition,larv_density,med_prey,large_prey,vert_pred,invert_pred,plankton,water_temp,DO,nitrates,pH,salinity,chlorophyll,turbidity,emergent_veg,conductivity,depth,dist_to_breed,suitable_598_split,suitable_598
Buena Vista 1_2024,0.14210607418553428,0.100624566,97.777778,2.358490566,0,0.660377359,675.2777778,21.9,0.66,53.52,6.3,0,78.65,5.135,15,103.1,134.112,509.3790289,1070100,1070100
Buena Vista 2_2023,-0.10378175870901912,0.069767442,21,9.553571429,0,0.089285714,1099,19.9,12.5,30.03,8.72,0,115.2,4.747,20,145.4,173.7,509.3790289,827100,992700
Buena Vista 2_2024,-0.18410272602717065,1.25,2.1875,19.86607143,0,0.267857143,404.6875,22.4,5.6,35.12,7.73,0,60.17,2.599,5,143.4,184.404,509.3790289,827100,992700
Calabasas_2021,-0.20893289464655682,0.127272727,34.042553,145.2857143,0,0.342857143,242.5531915,27.8,7.86,15.67,7.06,0,1832,9.814,90,84,40,208.6263557,883800,1260000
Calabasas_2022,-0.03931422958348665,0.335820896,72.85,109.3283582,0,0.111940299,1931.7,13.6,1.52,18.32,6.49,0,367.8,4.379,90,72,27,208.6263557,883800,1260000
Calabasas_2023,-0.11434619111967537,0.095070423,0,13.70940171,0,0.102564103,1752,16.3,6.97,10.05,6.58,0,103.8,3.577,85,114.6,82,208.6263557,883800,1260000
Calabasas_2024,-0.018238782529672128,0.069332101,0,19.56730769,0,0,1152,15.4,4.98,123.97,6.47,0,755.4,6.454,15,140.8,88.392,208.6263557,883800,1260000
Carneros 1_2023,0.1601316128525557,0.133101852,0,11.82692308,0.192307692,0.432692308,66.66666667,15.7,3.15,15.88,7.37,0.4,162.4,8.194,98,609,152.4,133.7598071,544500,561600
Carneros 1_2024,-0.019575912432601622,0.164473684,2.6666667,12.31132075,4.009433962,0,170.6666667,14.7,13.96,20.2,6.98,0.4,185,6.402,90,680,137.16,133.7598071,544500,561600
Carneros 2_2023,0.1117194821361118,0.022970904,0,21.80555556,0,0.555555556,48020,15.9,1.28,15.44,7.1,0.3,320.8,4.433,70,585,114.3,133.7598071,580500,597600
Carneros 2_2024,-0.09931753533677914,0.084889643,4,27.5,6.203703704,0,60,17.5,7.93,10.92,7.2,0.4,953.8,5.232,45,689,111.76,133.7598071,580500,597600
Delaney_2023,0.08335971524978118,0.169721656,70.2,6.114285714,0,0.152380952,4125.6,15.7,2.74,29.02,6.34,0,353.3,44.12,60,95.6,110,389.0821453,974700,1012500
Delaney_2024,-0.417837284163601,0.009578544,51,2.272727273,0,0.409090909,8838,13.6,0.7,278.62,5.85,0,692,21.38,35,103.5,121.92,389.0821453,974700,1012500
Ellicott_2021,-0.10757761091340227,0.257142857,0,12.01428571,0.042857143,0.1,10744.18605,18.2,8.81,5.34,7.87,0.1,2429,23.57,60,246.1,35,382.2162706,671400,840600
Ellicott_2022,-0.16090400873893954,0.199134199,0,4.171428571,0.085714286,0,1944,18.4,6.1,36.9,6.9,0,1094,11.62,30,176.6,66,382.2162706,671400,840600
Ellicott_2024,0.08860913871317574,0.176168339,44,14.95192308,0,1.057692308,2214,16.9,1.06,250,6.23,0,198.1,3.556,85,108.7,158.496,382.2162706,671400,840600
Lower Cattail_2023,-0.0907115560948891,0.005399568,0,2.990196078,0,0.049019608,1760.714286,17.6,3.42,37.4,7.21,0.3,307.7,15.95,7,464.5,153,125.4005816,486000,615600
Millsap 2_2022,0.09161234073011926,0.886287625,83,0.542857143,0.142857143,0,1753,20.8,5.59,20.94,8.14,0.4,190.5,89.94,10,727,71,82.14877817,688500,1113300
Millsap 2_2023,0.1420643342769096,0.251396648,8,8.333333333,0.601851852,0.138888889,496,20,5.55,44.15,7.55,0.2,245.7,41.85,8,327.9,112,82.14877817,688500,1113300
North County Parks_2023,0.11024332108115478,0.055305203,19.2,13.89423077,0,0.048076923,11596.8,17.7,1.62,14.21,7.18,0.2,308.1,21.41,35,402.2,152,1240.835816,338400,338400
North County Parks_2024,-0.03841902813706387,0.040268456,0,8.970588235,0.588235294,0.049019608,198.7142857,19,2.2,12.12,6.99,0.2,250.8,6.616,15,356.1,152.4,1240.835816,338400,338400
Oxbow_2023,-0.18479134875476816,0.005955926,5.5,1.057692308,0.048076923,0,0,12.9,0.7,22.45,7.44,0.3,332,62.44,90,455.8,121,127.3270341,732600,732600
Oxbow_2024,-0.09650768067361455,0.048746518,29.4,0.85,0.35,0,4.2,13.1,4.65,18.05,6.87,0.3,1497,7.332,95,509,121.92,127.3270341,732600,732600
Pond N_2021,0.0195709157856927,0.422110553,0,4.617142857,0,1.714285714,8458.333333,15.8,0.77,7.99,7.11,0.4,406.2,3.75,15,664,42,122.3977912,675000,675000
Pond N_2022,0.11774342464106838,0.225733634,0,32.34285714,0,0.228571429,8778,14.4,2,44.72,7.06,0.3,425.1,25.45,30,464.2,76,122.3977912,675000,675000
Pond N_2023,0.1631337577764198,0.888157895,0,5.87962963,0,0.277777778,54060,14.8,0.75,19.1,7.03,0.3,1248,50.61,35,462,137.2,122.3977912,675000,675000
