pond,year,larv_density,med_prey,large_prey,vert_pred,invert_pred,plankton,water_temp,DO,nitrates,pH,salinity,chlorophyll,turbidity,emergent_veg,conductivity,depth,dist_to_breed,suitable_598_split,suitable_598
Calabasas,2021,0.127272727,34.042553,145.2857143,0,0.342857143,242.5531915,27.8,7.86,15.67,7.06,0,1832,9.814,90,84,40,208.6263557,883800,1260000
Delaney,2021,0,18,5.571428571,0,0,779,21.3,7.2,4.43,7.69,0,329.6,5.327,35,169.3,40,389.0821453,974700,1012500
Ellicott,2021,0.257142857,0,12.01428571,0.042857143,0.1,10744.18605,18.2,8.81,5.34,7.87,0.1,2429,23.57,60,246.1,35,382.2162706,671400,840600
Howell,2021,0,0,3.685714286,0,0.028571429,0,23.2,NA,NA,NA,10,1096,24.59,1,OVER,50,710.2079222,197100,768600
McClusky Slough,2021,0,0,0,0.414285714,0,62,21,10.7,5,8.5,0.8,0,23.21,10,1607,70,5491.564664,495000,495000
Millsap 1,2021,0,0,0.086206897,0,0,42.85714286,13.2,1.6,10.63,7.24,0.1,301.2,13.94,95,196.4,70,82.14877817,744300,1125000
Millsap 2,2021,0,NA,NA,NA,NA,NA,22.5,NA,NA,7.98,3.4,421.2,0,0,610,6,82.14877817,688500,1113300
Oxbow,2021,0,0,0.714285714,0,0,19728.39506,14,0.34,14.21,7.68,0.2,201.9,3.748,80,387.8,65,127.3270341,732600,732600
Pond N,2021,0.422110553,0,4.617142857,0,1.714285714,8458.333333,15.8,0.77,7.99,7.11,0.4,406.2,3.75,15,664,42,122.3977912,675000,675000
Pond R,2021,0.444444444,0,1.028571429,0,1.104761905,7160.550459,21.3,10.23,8.45,7.12,0.3,547.1,7.317,10,643,45,137.1070221,650700,652500
Pond S,2021,0.717948718,0,5.914285714,0,0.6,22145.83333,26.2,3.88,10.15,7.42,0.4,287.8,17.72,30,930,32,137.1070221,579600,603900
Prospect,2021,2.728571429,5,10.27142857,0.1,0.014285714,561,24.4,13.5,9.51,8.06,0.2,1481,31.44,15,466,40,382.2162706,639900,882900
Rush,2021,0,41,7.5,0,0,26,30.1,NA,NA,NA,0.4,418.5,258.4,0,790,5,1554.84,886500,886500
Seascape 1,2021,0.173267327,0,7.236842105,0,1.842105263,448.5714286,18.4,35,12.03,6.64,0,212.2,2.776,90,137.7,65,386.0542259,615600,734400
Seascape 2,2021,0.033783784,26.315789,0.37037037,0,0.694444444,310.5263158,12.3,1.27,4.54,7.34,0,139.8,2.918,95,142.4,60,386.0542259,530100,662400
Seascape 3,2021,0.853658537,2.7777778,4.0625,0,0.703125,19.44444444,12.9,0.8,3.12,7.72,0.1,165.5,17.11,80,218.2,75,400.47,455400,910800
South Moro Cojo,2021,0.032653061,0,31.42857143,0,0.171428571,523.9411765,25.6,7.6,10.56,7.12,0.9,948.9,12.52,60,2377,39,1240.835816,732600,899100
Tucker,2021,0,0,1.442857143,1.757142857,0.128571429,726.6666667,19,4.1,3.67,7.09,0,178.2,3.712,20,113.4,90,1889.03152,1097100,1120500
Upper Cattail,2021,0,1,58.17142857,0,0.114285714,7696,18.8,3.22,3.79,8.35,0.2,1013,32.17,0,456.2,45,125.4005816,396900,832500
Valencia,2021,0.762711864,31.531532,5.818181818,0,0,1126.126126,12.7,0.88,36.53,8.07,0,314.1,2.15,50,151.3,40,1191.474501,37800,971100
Visitor Center,2021,0,0,48.93333333,0,0.038095238,15,21.4,15,7.71,10.12,0.3,134.5,1.132,10,570,50,434.2685445,692100,756000
Willow Canyon,2021,3.1,4,2.771428571,0,0,1128,16.8,6.41,10.02,7.39,0.1,450.7,65.08,25,172.8,60,725.9154025,734400,739800
Zmudowski,2021,0,3,4.071428571,3.3,0.028571429,121,17.6,7.18,15.8,8.16,0.8,0,6.118,50,1485,65,6180.082151,305100,305100
Buena Vista 2,2022,0,3,0.257142857,0,0.028571429,1160,19.5,8.7,5.23,7.79,0.1,171.4,15.31,3,244,120,509.3790289,827100,992700
Calabasas,2022,0.335820896,72.85,109.3283582,0,0.111940299,1931.7,13.6,1.52,18.32,6.49,0,367.8,4.379,90,72,27,208.6263557,883800,1260000
Central,2022,0,NA,6.25,0,0,NA,22.8,NA,NA,NA,0.2,6348,95.42,5,NA,10,674.1725765,236700,310500
Delaney,2022,0,38,8.888888889,0,0,423,17.4,4.29,87.14,6.5,0,259.9,19.09,20,145,122,389.0821453,974700,1012500
Ellicott,2022,0.199134199,0,4.171428571,0.085714286,0,1944,18.4,6.1,36.9,6.9,0,1094,11.62,30,176.6,66,382.2162706,671400,840600
Hix,2022,0,24,18.57142857,0,0,7692,17.8,6.44,12.48,8.41,0.2,420.1,76.42,0,251,106,654.0173365,243900,797400
Howell,2022,0,1,4.342857143,0,0.038095238,16,24.4,NA,NA,NA,10,1061,8.1,10,NA,NA,710.2079222,197100,768600
Long Valley,2022,0,11,135.5428571,0,0,75,25.2,12.83,14.51,8.79,0.7,1421,24.41,1,655,90,745.4520426,574200,643500
Lower Cattail,2022,0,0,2.185714286,0,0,212,26.2,NA,NA,NA,10,OVER,43.43,NA,NA,61,125.4005816,486000,615600
McClusky Slough,2022,0,0,0,0.157142857,0,82,19.2,7.62,4.53,8.32,0.5,431.1,23.27,10,973,91,5491.564664,495000,495000
Millsap 1,2022,0,0,0.691489362,1.170212766,0.106382979,10,13,1.44,16.8,6.42,0.1,605.8,15.47,98,193,91,82.14877817,744300,1125000
Millsap 2,2022,0.886287625,83,0.542857143,0.142857143,0,1753,20.8,5.59,20.94,8.14,0.4,190.5,89.94,10,727,71,82.14877817,688500,1113300
Oxbow,2022,0,0,0.428571429,0,0,23500,12.5,0.19,43.28,7.01,0.3,325.2,0,90,388.3,90,127.3270341,732600,732600
Pond N,2022,0.225733634,0,32.34285714,0,0.228571429,8778,14.4,2,44.72,7.06,0.3,425.1,25.45,30,464.2,76,122.3977912,675000,675000
Pond R,2022,0,0,17.24696356,0,1.943319838,3880.5,17.6,1.33,46.72,6.97,0.3,397.4,45.95,15,487.4,100,137.1070221,650700,652500
Pond S,2022,0,3,53.97142857,0,1.314285714,3888,18.7,0.57,38.36,7.09,0.3,282.4,8.32,25,413,76,137.1070221,579600,603900
Prospect,2022,3.028571429,0,42.38571429,0.028571429,0.257142857,3186,21.3,4.11,14.02,7.22,0.2,724.9,8.742,40,336,70,382.2162706,639900,882900
Rush,2022,0,124,9.2,0,0,80,14,5.05,34,7.4,0.2,322.4,137.1,8,269.5,76,1554.84,886500,886500
Seascape 1,2022,0.050432277,40,2.75,0,0,2845,13.7,1.18,31.7,6.2,0,229.5,15,90,136.9,53,386.0542259,615600,734400
Seascape 2,2022,0.065406977,16,4.467213115,0,0.12295082,337,12.4,1.13,30.75,6.1,0,176.9,5.06,95,145.3,106,386.0542259,530100,662400
Seascape 3,2022,0.246478873,40,0.840163934,0,0,260,12.7,0.6,30.18,6.48,0,300.6,8.312,80,176.4,100,400.47,455400,910800
South Moro Cojo,2022,0.004960317,21,6.428571429,0.414285714,0.114285714,669,21.9,3.96,1281,7.22,0.7,407.8,9.25,80,1263,30,1240.835816,732600,899100
Suess,2022,0.15625,16,0.625,0,0,10056,10.9,2.24,27.03,6.88,0,213.4,12.75,40,155.1,15,208.6263557,648900,1007100
Swimming Pool,2022,0,48.888889,46.25,0,2.5,240,15.2,NA,NA,NA,3.4,263.6,25.14,60,NA,76,532.4821468,516600,602100
Tucker,2022,0,26,0.6,5.314285714,1.428571429,906,15.3,4.44,25.73,6.7,0,272.4,12.77,10,95.7,91,1889.03152,1097100,1120500
Upper Cattail,2022,0.071428571,0,41.14285714,0,0,12527.06897,19,1.87,17.84,7.5,0.2,935.9,53.97,3,359,143,125.4005816,396900,832500
Valencia,2022,0,25.85,2.364130435,0,0,578.1,12.6,0.38,65.23,6.57,0,474.6,7.684,80,144,76,1191.474501,37800,971100
Visitor Center,2022,0,0,43.11428571,0,0.114285714,6,18.7,8.56,21.26,10,0.2,153.4,1.753,3,414.7,30,434.2685445,692100,756000
Willow Canyon,2022,3.866666667,3,5.352380952,0,0.380952381,64,19.2,8.24,15.2,7.44,0,227.5,5.527,40,145.6,62,725.9154025,734400,739800
Zmudowski,2022,0,1,6,3.542857143,0,1684,16.1,1.78,11.59,7.27,0.5,214.2,3.853,45,909,137,6180.082151,305100,305100
Alexander,2023,0,8.3333333,19.21568627,0,0,200,15.1,0.1,27.8,6.85,0.1,207.4,2.035,12,242.5,228,661.170559,,
Buena Vista 1,2023,0,148.2,5.288461538,0,0.144230769,3188.2,18.8,4.8,18.04,6.85,0,209.3,28.98,10,123.2,237.7,509.3790289,1070100,1070100
Buena Vista 2,2023,0.069767442,21,9.553571429,0,0.089285714,1099,19.9,12.5,30.03,8.72,0,115.2,4.747,20,145.4,173.7,509.3790289,827100,992700
Calabasas,2023,0.095070423,0,13.70940171,0,0.102564103,1752,16.3,6.97,10.05,6.58,0,103.8,3.577,85,114.6,82,208.6263557,883800,1260000
Caltrans 1,2023,0,220,5.618181818,0.018181818,0.036363636,53560,17,NA,NA,NA,10,5229,72.3,NA,NA,30.48,,,
Caltrans 2,2023,0,NA,MISSING,MISSING,MISSING,NA,NA,NA,NA,NA,10,8764,96.7,NA,NA,30.48,,,
Caltrans 3,2023,0,NA,MISSING,MISSING,MISSING,NA,16.7,NA,NA,NA,10,4203,79.5,NA,NA,30.48,,,
Caltrans 4,2023,0,NA,MISSING,MISSING,MISSING,NA,16.1,NA,NA,NA,9,9733,45.46,NA,NA,30.48,,,
Caltrans 5,2023,0,18,15.24509804,0.049019608,0.098039216,31518,15.3,NA,NA,NA,1.6,1285,70.46,95,NA,NA,,,
Caltrans 6,2023,0,NA,6.274509804,0,0,NA,17.3,NA,NA,NA,3.8,942.9,23.47,45,NA,60.96,,,
Carneros 1,2023,0.133101852,0,11.82692308,0.192307692,0.432692308,66.66666667,15.7,3.15,15.88,7.37,0.4,162.4,8.194,98,609,152.4,133.7598071,544500,561600
Carneros 2,2023,0.022970904,0,21.80555556,0,0.555555556,48020,15.9,1.28,15.44,7.1,0.3,320.8,4.433,70,585,114.3,133.7598071,580500,597600
